Vardas              Pavarde             ND1    Egz    
Makarijus           Jankauskas          6      7      
zymantas            Baranauskas         3      7      
Adamas              Paulauskas          9      4      
Arsenas             Paulauskas          4      2      
Mecys               Paulauskas          6      9      
Nazaras             Petrauskas          2      8      
Balys               Kateiva             4      3      
Sigizmundas         Urbonas             5      8      
Gintautas           Vasiliauskas        5      10     
Girmantas           Baranauskas         6      1      
Augis               Pocius              3      4      
Stasius             Sakalauskas         10     7      
sarunas             Urbonas             5      7      
Drasius             Petrauskas          5      9      
Leonas              Petrauskas          6      1      
Rimtas              Paulauskas          6      5      
Balys               Butkus              5      8      
Michalas            Kazlaukas           10     10     
Anatolijus          Baranauskas         4      9      
Timotis             Vasiliauskas        7      1      
Kozmas              Vasiliauskas        6      10     
Narvydas            Stankevicius        1      10     
Alius               Pocius              7      9      
Skalvis             Kateiva             10     8      
Tarasas             Kavaliauskas        6      2      
Ksistofas           Stankevicius        4      5      
Krescencijus        Stankevicius        8      2      
Laurentijus         Butkus              2      10     
Adrijus             Paulauskas          1      10     
Kajetonas           zukauskas           1      8      
Jorunas             Urbonas             6      8      
Imantas             Urbonas             10     5      
Gerutis             Vasiliauskas        9      10     
Karolis             zukauskas           9      1      
Margiris            Vasiliauskas        1      10     
Ruslanas            Kateiva             10     10     
Evaldas             Butkus              9      3      
Mantvydas           Kazlaukas           2      7      
Janis               Kazlaukas           2      10     
Georgijus           Butkus              6      7      
Nedas               Kateiva             10     5      
Laisvunas           Stankevicius        3      6      
Leonidas            Sakalauskas         9      3      
Dmitrijus           Kateiva             9      1      
Arvaidas            Kateiva             1      7      
Girius              Butkus              5      9      
Narvydas            Baranauskas         3      8      
Juozapas            Kateiva             10     1      
Severas             Kazlaukas           10     5      
Kalnius             Pocius              10     2      
Alpis               Urbonas             2      7      
Germanas            Urbonas             4      1      
Bernardas           Butkus              10     9      
Zigmantas           Jankauskas          3      4      
zybartas            zukauskas           8      8      
Gvidonas            Jankauskas          8      8      
Stanislavas         Pocius              6      1      
Margiris            Sakalauskas         5      7      
Albinas             Stankevicius        3      10     
Astijus             Sakalauskas         9      6      
Dionizas            Sakalauskas         9      7      
Vidas               Pocius              7      4      
Tamosius            Kateiva             3      8      
Dionizas            Stankevicius        9      3      
Einius              Petrauskas          4      6      
Karpas              Jankauskas          4      8      
Domas               Sakalauskas         10     5      
Kuprijanas          zukauskas           6      7      
Ramonas             Pocius              8      6      
Sonetas             Petrauskas          6      10     
Joris               Kateiva             1      8      
Minijus             Stankevicius        7      5      
Kamilis             Kavaliauskas        6      8      
Ralfas              Jankauskas          10     3      
Vilius              Pocius              6      1      
Jemeljanas          Vasiliauskas        6      2      
Darius              Kateiva             8      10     
Ervinas             Petrauskas          4      3      
Tedas               zukauskas           1      7      
Rokas               Urbonas             5      10     
Bazilijus           zukauskas           4      8      
Merkys              Pocius              4      3      
Kostas              Petrauskas          7      1      
Vasaris             Pocius              1      3      
Benjaminas          Petrauskas          6      7      
Vingaudas           Vasiliauskas        7      9      
Silvijus            Stankevicius        3      8      
Kiprijonas          Kateiva             10     1      
Karolis             Kazlaukas           6      8      
Nortautas           Paulauskas          1      2      
Aurimas             Vasiliauskas        6      7      
Gedmas              Sakalauskas         4      6      
Jevgenijus          Baranauskas         2      9      
Vadimas             Urbonas             6      1      
Haraldas            zukauskas           8      1      
cesius              zukauskas           5      4      
Venantas            Jankauskas          3      9      
Joanas              Pocius              4      4      
Jogirdas            Vasiliauskas        7      4      
Merunas             Urbonas             8      4      
Benius              Kazlaukas           10     8      
Jonaras             Urbonas             1      5      
Kornelijus          Kateiva             9      1      
Vadimas             Sakalauskas         8      1      
Palmyras            Stankevicius        2      4      
Virmantas           Kateiva             5      8      
Regimantas          Petrauskas          10     8      
Vilenas             Baranauskas         2      4      
Renatas             Kazlaukas           8      2      
Napolis             Baranauskas         3      7      
Kipras              Pocius              9      9      
Jaunutis            Kavaliauskas        2      5      
Jankelis            Kavaliauskas        6      4      
Dziugas             Pocius              6      1      
Renatas             Vasiliauskas        2      7      
Ciprijonas          Butkus              1      5      
Flavijus            Petrauskas          6      1      
Eimantas            Vasiliauskas        1      1      
Anisimas            Baranauskas         4      2      
Marinas             Stankevicius        2      1      
Gustas              zukauskas           2      5      
Gerdas              Baranauskas         4      4      
Liudvigas           Baranauskas         9      8      
Markas              Jankauskas          7      6      
Oskaras             Sakalauskas         6      1      
Gaudvydas           Sakalauskas         3      8      
Timotis             Pocius              8      8      
Timotiejus          Kateiva             3      10     
Rostislavas         zukauskas           1      4      
Valerijonas         Kateiva             7      6      
Fabijus             Jankauskas          5      3      
Ricardas            Kavaliauskas        9      5      
Jokubas             Urbonas             10     3      
zymantas            Vasiliauskas        1      9      
Alfas               Kateiva             9      9      
Andreas             Baranauskas         5      6      
Laurynas            Jankauskas          2      9      
Merunas             Butkus              1      6      
Mykolas             Vasiliauskas        10     4      
Sakalas             Kazlaukas           2      9      
Silverijus          Urbonas             6      3      
Anatolis            Kateiva             3      1      
Arnas               Butkus              4      1      
Vaidotas            Kavaliauskas        8      9      
Eidminas            Kavaliauskas        1      5      
zanas               zukauskas           4      2      
Karpas              Vasiliauskas        3      4      
Salvijus            Kateiva             10     1      
Narsutis            Stankevicius        9      4      
Nikolajus           Urbonas             3      3      
Damijonas           Baranauskas         2      1      
Haraldas            Jankauskas          5      8      
Ovidijus            Stankevicius        5      3      
Rostislavas         Kazlaukas           3      5      
Jacekas             Kateiva             3      7      
Rubenas             Kavaliauskas        3      9      
Janusas             Vasiliauskas        9      6      
Jakovas             zukauskas           6      1      
Gerimantas          Vasiliauskas        2      9      
Girvydas            zukauskas           10     10     
Dzeraldas           Stankevicius        6      6      
Lauras              Vasiliauskas        9      5      
Rysardas            Urbonas             4      5      
Anzelmas            Petrauskas          7      7      
Jogaila             Paulauskas          2      3      
Arsenijus           Urbonas             2      2      
Dovilis             Jankauskas          10     9      
Skirgaila           Vasiliauskas        9      8      
Skirmantas          Stankevicius        6      6      
Apolonijus          Kazlaukas           10     8      
Martinas            Urbonas             10     7      
Andriejus           Kateiva             4      7      
Mantrimas           Vasiliauskas        10     2      
Eugeniusas          Jankauskas          5      4      
Rasius              Kazlaukas           4      10     
Jonas               Sakalauskas         4      3      
Girius              Urbonas             4      5      
Modestas            Stankevicius        6      2      
Gaudrimas           Urbonas             7      9      
Bartvydas           Sakalauskas         2      1      
Valdimantas         Petrauskas          4      4      
Rimtautas           Jankauskas          7      2      
Brunas              Baranauskas         1      10     
Arijus              Petrauskas          5      5      
Vilnius             Butkus              10     2      
Vejunas             Stankevicius        4      10     
Rostislavas         Pocius              10     6      
Mantautas           Urbonas             5      5      
Vilius              Jankauskas          10     1      
Felicijus           Vasiliauskas        10     2      
Anisimas            Butkus              6      9      
Valdimantas         Paulauskas          10     2      
Edvinas             zukauskas           8      3      
Tautvydas           Vasiliauskas        3      2      
Boleslovas          Pocius              10     10     
Leopoldas           Kavaliauskas        2      1      
Sidas               Kateiva             10     5      
Zigmas              Kazlaukas           8      9      
Miglius             Kazlaukas           2      2      
Romanas             Jankauskas          2      2      
Andrius             Butkus              1      3      
Ignacas             Kavaliauskas        8      8      
Francisekas         Vasiliauskas        8      9      
Gavrilas            Kazlaukas           3      2      
Feliksas            Kavaliauskas        8      6      
Rufinas             Vasiliauskas        2      8      
Orintas             Baranauskas         10     9      
Agatas              Kavaliauskas        5      2      
Klaudas             Paulauskas          7      9      
Semionas            Urbonas             7      6      
Vakaris             Pocius              9      1      
Marcelijus          Stankevicius        5      1      
Artiomas            Kateiva             2      9      
Vidmantas           Kateiva             10     2      
Serzas              Kazlaukas           1      10     
Juozapas            Baranauskas         2      7      
Nikolajus           Petrauskas          9      3      
Tautginas           Urbonas             9      9      
Andreas             Stankevicius        5      1      
Rytis               Pocius              4      8      
Dariusas            Butkus              7      6      
Neivydas            Vasiliauskas        4      4      
Gotfridas           Pocius              8      3      
Samuelis            Baranauskas         8      3      
Laisvydas           zukauskas           7      7      
Benediktas          Baranauskas         4      6      
Palemonas           Jankauskas          1      6      
Horstas             Paulauskas          8      10     
Rimvydas            Stankevicius        1      5      
Juvencijus          Kazlaukas           6      10     
Klimentijus         Petrauskas          3      3      
ukas                Kateiva             6      5      
Vakaris             Baranauskas         9      1      
Dzeraldas           Kazlaukas           1      6      
Kleopas             Jankauskas          2      10     
Boleslovas          Sakalauskas         6      8      
Joanas              Butkus              4      10     
Kleopas             Baranauskas         5      10     
Janas               Kazlaukas           3      6      
Trofimas            Stankevicius        1      9      
Germanas            Sakalauskas         4      7      
Justas              Sakalauskas         2      6      
Arunas              Paulauskas          9      8      
Alvidas             Stankevicius        10     9      
Silverijus          Butkus              6      10     
Demetrijus          Baranauskas         9      3      
Matvejus            Kavaliauskas        7      3      
Skaistis            Stankevicius        4      9      
Nikiforas           Kateiva             2      3      
Martinas            Stankevicius        10     10     
Algimantas          Stankevicius        5      8      
Julius              Pocius              4      7      
Remigijus           Kazlaukas           9      6      
Skaidrius           Baranauskas         5      2      
Matvejus            Vasiliauskas        10     5      
Kestas              Urbonas             8      5      
Liucijus            Jankauskas          9      3      
Milvydas            Baranauskas         1      1      
Steponas            Paulauskas          4      2      
Samuilas            Baranauskas         9      1      
Izidorius           Paulauskas          2      8      
Pijus               Kazlaukas           1      5      
Dzeraldas           Vasiliauskas        4      5      
Benediktas          Butkus              4      5      
Celestinas          Kavaliauskas        3      2      
Rafalas             Butkus              3      3      
Andzejus            Sakalauskas         10     1      
Jacekas             Urbonas             4      5      
Pranciskus          Vasiliauskas        5      1      
Eldaras             Stankevicius        10     7      
Agatas              Pocius              6      2      
Silvestras          Vasiliauskas        9      8      
Juzefas             Sakalauskas         1      3      
Palmyras            Baranauskas         7      6      
Vismantas           Jankauskas          1      3      
Konstantinas        Jankauskas          1      8      
Girenas             Paulauskas          8      9      
Levas               Kateiva             9      6      
Rodrigas            Kavaliauskas        5      4      
Haroldas            Petrauskas          2      4      
Semas               Kateiva             1      6      
Andzejus            Jankauskas          4      6      
Audrius             Pocius              10     2      
Stanislavas         Paulauskas          4      10     
Bronislavas         Baranauskas         5      4      
Vadimas             Baranauskas         5      5      
Sonetas             Pocius              4      3      
Renaldas            Vasiliauskas        4      6      
Krescencijus        Butkus              5      9      
Ferdinandas         Kateiva             4      3      
Vidmantas           Paulauskas          3      8      
Nikola              Sakalauskas         2      2      
Tomasas             Sakalauskas         6      1      
Semas               Butkus              9      4      
Brunonas            Kazlaukas           7      3      
Piotras             Kazlaukas           6      2      
Dalius              Urbonas             2      9      
zibartas            Vasiliauskas        2      7      
Jonas               Urbonas             9      10     
Konradas            Butkus              6      9      
Nikolajus           Paulauskas          2      3      
Urbonas             Stankevicius        9      3      
Ingvaras            Baranauskas         1      3      
Vytenis             zukauskas           7      3      
Stepanas            Vasiliauskas        3      1      
Dzeraldas           Jankauskas          2      5      
Jankelis            Urbonas             6      3      
Gailimantas         Kavaliauskas        7      7      
Faustas             Pocius              6      5      
Aristarchas         Vasiliauskas        5      5      
Jogaila             Baranauskas         3      1      
Ipolitas            Stankevicius        10     9      
Rytautas            Paulauskas          9      2      
Telesforas          Stankevicius        8      8      
Jevgenijus          Paulauskas          9      5      
Svajus              Sakalauskas         5      1      
Einius              Kazlaukas           10     10     
Gerdas              Vasiliauskas        4      4      
Mazvydas            Pocius              10     5      
Vilenas             Kavaliauskas        5      7      
Albertas            Stankevicius        3      1      
Deimantas           Petrauskas          10     6      
Ervinas             Paulauskas          1      6      
Viltautas           zukauskas           2      2      
Girvydas            Stankevicius        2      3      
Andreas             Baranauskas         5      2      
Gintaras            Petrauskas          7      3      
ceslovas            Sakalauskas         2      7      
Virginijus          Petrauskas          1      6      
Marinas             Urbonas             5      6      
Santaras            Butkus              8      7      
Anzelmas            Petrauskas          10     3      
Rysardas            Butkus              7      6      
Dovis               Jankauskas          7      9      
Voicechas           Jankauskas          7      4      
Maksas              Petrauskas          5      6      
Jaunius             Kateiva             3      10     
Skalmantas          Sakalauskas         3      1      
Boleslovas          Stankevicius        3      7      
Domas               Kavaliauskas        9      5      
Germanas            zukauskas           7      4      
Jogirdas            Kavaliauskas        7      8      
Nazarijus           Baranauskas         4      2      
Arnoldas            zukauskas           6      1      
Jovaldas            Petrauskas          7      2      
Nerius              Pocius              9      5      
Raimundas           Kateiva             2      6      
Francas             Urbonas             9      5      
Albinas             Vasiliauskas        1      2      
Kestas              Kazlaukas           6      2      
Valteris            Pocius              4      8      
Vejas               Paulauskas          8      8      
Rysardas            Butkus              1      8      
Sidoras             zukauskas           3      3      
Silverijus          Jankauskas          5      4      
Rodrigas            Urbonas             5      6      
Virginijus          Vasiliauskas        3      9      
Arminas             zukauskas           6      9      
Charitonas          Stankevicius        1      10     
Jaunius             Jankauskas          4      2      
Justas              Vasiliauskas        9      9      
Baltramiejus        Butkus              8      7      
Arminas             Kavaliauskas        9      2      
Norvydas            Baranauskas         6      4      
Bogdanas            zukauskas           2      10     
Fabijus             Butkus              4      4      
Vladlenas           Kavaliauskas        10     4      
Nortautas           Butkus              2      4      
Nazarijus           Kavaliauskas        6      7      
zydrius             Stankevicius        2      4      
Bartas              Baranauskas         4      5      
Ausrys              Petrauskas          2      10     
Rytas               Sakalauskas         10     5      
Zenius              Butkus              5      9      
Marinas             Urbonas             8      9      
Vaigaudas           Petrauskas          5      1      
Akimas              zukauskas           6      5      
Vaclovas            Butkus              3      3      
Astijus             Kazlaukas           9      8      
Gustas              Kateiva             2      2      
Ugnius              Butkus              10     5      
Rimas               Stankevicius        9      3      
Ipolitas            Baranauskas         1      1      
Kazys               Kateiva             7      8      
Igoris              Butkus              6      4      
Eidimantas          Pocius              5      4      
Alfredas            Urbonas             4      5      
cesius              Sakalauskas         9      8      
Liubomiras          Sakalauskas         4      7      
Mangirdas           zukauskas           6      6      
Bazilijus           Jankauskas          1      5      
Natanas             Vasiliauskas        9      6      
Drasutis            Urbonas             4      1      
Palmyras            Kavaliauskas        5      2      
Emilijus            Kazlaukas           9      3      
Jevgenijus          Kateiva             7      2      
Sikstas             Urbonas             3      7      
Trofimas            Pocius              10     5      
Tonis               Stankevicius        2      9      
Adomas              Vasiliauskas        1      10     
Vacys               Kazlaukas           1      8      
Vigilijus           Paulauskas          9      2      
Piotras             Petrauskas          10     1      
Grigalius           Petrauskas          7      10     
Andzejus            zukauskas           1      1      
Jovaldas            Baranauskas         2      10     
Lukrecijus          Paulauskas          1      6      
Rafailas            Stankevicius        4      9      
Rasius              Paulauskas          2      9      
Sviatoslavas        Paulauskas          9      3      
Sandras             Pocius              10     9      
Rimantas            Kavaliauskas        4      10     
Geivydas            Kavaliauskas        7      4      
Vygirdas            Pocius              1      7      
Narsutis            Paulauskas          2      4      
Algimantas          Stankevicius        10     6      
Liudvikas           Kazlaukas           9      2      
Viaceslavas         Urbonas             1      6      
Brunonas            Petrauskas          4      3      
Reinhardas          Urbonas             5      6      
Ramintas            Kazlaukas           9      6      
Jevgenijus          Stankevicius        6      2      
Aurimas             Sakalauskas         1      9      
Gedmantas           Kateiva             2      9      
zydrius             Kavaliauskas        10     2      
Jeronimas           Butkus              9      2      
Makarijus           Kavaliauskas        6      8      
Laisvunas           zukauskas           1      3      
Sebastijonas        Kateiva             8      10     
Vaidas              zukauskas           5      10     
Reinhardas          Kateiva             2      7      
Modestas            Baranauskas         3      7      
Pilypas             Butkus              1      1      
Virgis              Pocius              2      3      
Petras              Baranauskas         6      3      
Bonifacas           zukauskas           4      1      
Renius              Paulauskas          10     4      
Liubomiras          Urbonas             8      8      
Rodrigas            Butkus              1      2      
Brunas              Kateiva             3      3      
Valys               Butkus              7      3      
Narimantas          Urbonas             2      2      
Marinas             Baranauskas         2      8      
zymantas            Kateiva             9      9      
Giedrius            Kavaliauskas        2      5      
Utenis              zukauskas           3      7      
Jaunutis            Sakalauskas         10     5      
Urbonas             Sakalauskas         4      3      
Marianas            Paulauskas          7      1      
Nilas               Urbonas             10     10     
Fabijus             Vasiliauskas        8      4      
Nidas               Kazlaukas           4      1      
Ervinas             Sakalauskas         9      6      
Timotiejus          Vasiliauskas        3      7      
Dovilis             Kavaliauskas        7      8      
Erazmas             Jankauskas          9      2      
Aloyzas             Stankevicius        2      8      
Jokimas             Sakalauskas         1      3      
Gytis               Sakalauskas         3      10     
Aronas              Jankauskas          6      2      
Aronas              zukauskas           7      8      
Kaributas           Vasiliauskas        10     3      
Gediminas           Urbonas             6      10     
Dzeraldas           Paulauskas          3      8      
Germantas           Vasiliauskas        8      1      
Mazvydas            Paulauskas          2      9      
Grazvydas           Vasiliauskas        2      2      
Sidas               Kateiva             9      1      
Norvilas            Kazlaukas           9      4      
Vasaris             Stankevicius        4      9      
Tarasas             Pocius              5      7      
Dionizas            Petrauskas          10     10     
Rufas               Urbonas             5      2      
Emilijonas          Baranauskas         5      7      
Rimtas              Butkus              10     10     
Egidijus            Pocius              1      6      
zygaudas            Kateiva             9      4      
Donatas             Jankauskas          9      5      
Deimantas           Paulauskas          2      3      
Marcelijus          Petrauskas          4      10     
Mecislavas          Jankauskas          7      6      
Gintas              Stankevicius        9      5      
Diomidas            Sakalauskas         4      5      
Diomidas            Butkus              3      5      
Virgaudas           Petrauskas          3      10     
Helmutas            Paulauskas          2      7      
Bernardas           Jankauskas          10     3      
Nojus               Kazlaukas           2      10     
Francisekas         Urbonas             2      1      
Viktorinas          Kateiva             6      5      
Gitanas             Kazlaukas           4      3      
Gordejus            Vasiliauskas        2      9      
Fiodoras            Vasiliauskas        6      2      
Laimutis            Paulauskas          2      2      
Lavrentijus         Baranauskas         4      6      
Rafaelis            Pocius              3      10     
Rutenis             Paulauskas          6      4      
ceslovas            Kavaliauskas        9      4      
Eimantas            Stankevicius        9      5      
Dionizas            Baranauskas         6      9      
Vaidutis            Sakalauskas         5      3      
Antonijus           Paulauskas          10     10     
Algis               Stankevicius        6      7      
Augustinas          Butkus              2      4      
Vaclovas            Paulauskas          10     1      
Josifas             Pocius              2      8      
Arnoldas            Jankauskas          3      10     
Anzelmas            Butkus              8      4      
Liucijus            zukauskas           1      8      
Vygantas            Vasiliauskas        7      7      
Kestutis            Kavaliauskas        1      3      
Jurijus             zukauskas           7      1      
Marianas            Urbonas             10     6      
Nerimantas          Butkus              7      7      
Jogintas            Vasiliauskas        4      3      
Maksimas            Petrauskas          8      7      
Felicijus           Baranauskas         10     5      
Florijonas          Pocius              4      6      
Bonifacas           Jankauskas          2      2      
Nazaras             Vasiliauskas        1      2      
Serapinas           Butkus              5      2      
Banguolis           Stankevicius        8      7      
Eimis               Urbonas             6      10     
Astijus             Vasiliauskas        4      4      
Eimis               Butkus              8      8      
Marcelinas          Kavaliauskas        2      7      
Deivis              Kazlaukas           7      6      
Renaldas            Stankevicius        3      2      
Vygaudas            Sakalauskas         2      5      
Remas               Urbonas             4      5      
Moze                Pocius              6      1      
Eidvydas            Petrauskas          3      5      
Erikas              Kavaliauskas        3      7      
Baltramiejus        Stankevicius        7      9      
Norbertas           Petrauskas          6      4      
Morkus              Petrauskas          7      8      
Linas               Petrauskas          7      7      
Sonetas             Paulauskas          7      5      
Mantautas           Kavaliauskas        4      6      
Vincas              Pocius              2      1      
Ulrikas             Baranauskas         7      4      
Ignotas             Butkus              3      10     
Ugnius              Kazlaukas           1      3      
Gailimantas         Paulauskas          3      7      
Mintaras            Baranauskas         6      5      
Alius               Kateiva             9      8      
Dzeraldas           Kavaliauskas        9      6      
Florijonas          Kavaliauskas        8      1      
Judrius             Pocius              9      6      
Margiris            Stankevicius        9      10     
Serafinas           Kazlaukas           4      1      
Merkys              zukauskas           6      7      
Mendelis            Kazlaukas           6      6      
Norvydas            Urbonas             6      10     
Timotis             Kavaliauskas        2      3      
siaurys             Butkus              3      8      
Darijus             Butkus              10     3      
Rysardas            Butkus              1      6      
Akimas              Vasiliauskas        5      1      
Arminas             Kazlaukas           10     8      
Pilypas             Paulauskas          8      8      
Dziraldas           Kateiva             1      5      
Irenijus            Stankevicius        7      8      
Justinas            zukauskas           8      7      
Gustavas            Stankevicius        4      6      
Baltrus             Pocius              1      7      
Inocentas           Pocius              3      1      
Arunas              Urbonas             6      1      
Nikiforas           Urbonas             3      6      
Grigorijus          Paulauskas          1      5      
Maksas              Baranauskas         9      9      
Liutas              Stankevicius        1      1      
Liudvikas           Paulauskas          1      5      
Gotfridas           Urbonas             8      9      
Kiprijonas          Paulauskas          5      7      
Vakaris             Pocius              7      6      
siaurys             Jankauskas          8      9      
Gerardas            Kazlaukas           5      9      
Palmyras            Kazlaukas           6      3      
Arsenas             Butkus              5      5      
Naglis              Kateiva             4      8      
Saulenis            zukauskas           9      1      
Sviatoslavas        Sakalauskas         6      4      
Sirvydas            Petrauskas          2      1      
Arminas             Baranauskas         4      7      
Rolfas              Kavaliauskas        4      1      
Bogdanas            Sakalauskas         2      1      
Raigardas           Vasiliauskas        2      10     
Vytautas            Baranauskas         6      4      
Oktavijus           Urbonas             7      1      
Ronaldas            Stankevicius        10     10     
Vaidis              Kateiva             8      5      
Gervydas            zukauskas           3      5      
Dzonis              Vasiliauskas        7      3      
Mantas              Paulauskas          9      8      
Sirvydas            Vasiliauskas        7      1      
Mantautas           Baranauskas         9      9      
Romas               Vasiliauskas        3      3      
Napalys             Butkus              6      5      
Haroldas            Pocius              10     8      
Aras                Paulauskas          9      2      
Terentijus          Kazlaukas           4      4      
Dziraldas           Vasiliauskas        4      3      
Vaidila             Kavaliauskas        8      9      
Liubartas           Vasiliauskas        5      4      
Ubaldas             Vasiliauskas        8      2      
Gavrila             Urbonas             9      9      
Karolis             Pocius              2      8      
siaurys             Jankauskas          7      4      
Tadeusas            Paulauskas          5      9      
Bronislavas         Kavaliauskas        4      10     
Eldaras             Baranauskas         4      3      
Akvilinas           Sakalauskas         7      10     
Vaizgantas          Stankevicius        5      7      
Dmitrijus           Stankevicius        4      9      
Gedmantas           Paulauskas          9      5      
Sebastijonas        Paulauskas          10     7      
Apolinaras          Kavaliauskas        2      5      
Vladislavas         Urbonas             6      8      
Leonas              Kavaliauskas        7      10     
Zakarijus           Kavaliauskas        10     8      
Gotfridas           Pocius              7      6      
Cecilijus           Petrauskas          3      7      
Napolis             Jankauskas          2      6      
Gytis               Urbonas             4      3      
Gedminas            Pocius              2      2      
Apolinaras          Pocius              1      8      
Jovitas             zukauskas           6      4      
Vsevolodas          Stankevicius        6      5      
zygaudas            Butkus              2      3      
Kristupas           Kateiva             7      1      
Laurynas            Kateiva             5      3      
Viesulas            Petrauskas          4      1      
Samuelis            Sakalauskas         9      2      
Germantas           zukauskas           2      1      
Irvydas             Kazlaukas           5      7      
Juras               Stankevicius        1      3      
Mantvydas           Stankevicius        1      6      
Dobilas             Kavaliauskas        1      5      
Dmitrijus           Vasiliauskas        6      5      
Nikodemas           Paulauskas          5      3      
Balys               Stankevicius        5      3      
Mateusas            zukauskas           6      7      
Neringas            Stankevicius        7      5      
Girius              Paulauskas          6      5      
Napolis             Sakalauskas         2      7      
Felicijus           Petrauskas          6      7      
Vacius              Urbonas             8      9      
Tauras              Pocius              8      2      
Dainius             Baranauskas         9      4      
Vladislovas         Kavaliauskas        6      9      
Romualdas           Stankevicius        3      9      
ukas                Kateiva             4      5      
Venjaminas          Kateiva             8      1      
sarunas             Paulauskas          4      1      
Germantas           Butkus              8      5      
Hilarijus           Kazlaukas           2      4      
Vasaris             Pocius              9      4      
Rolfas              Vasiliauskas        8      5      
Gunaras             Pocius              8      1      
Rasius              Petrauskas          4      7      
Silvijus            Butkus              2      2      
Martinas            Stankevicius        8      3      
Ricardas            Pocius              9      6      
Eidimantas          Butkus              7      7      
Damijonas           Kavaliauskas        2      8      
Klaudas             Stankevicius        5      6      
Lauris              Urbonas             4      10     
Ugnius              Kazlaukas           2      1      
Manfredas           Petrauskas          9      3      
Dobilas             Petrauskas          1      7      
Stefanas            Butkus              5      4      
Davidas             Butkus              5      6      
Serafinas           Butkus              9      6      
Juvencijus          Vasiliauskas        2      7      
Mintaras            Butkus              10     2      
Cecilijus           Kazlaukas           9      10     
Gaudrimas           Pocius              2      5      
Naumas              Petrauskas          7      3      
Sigis               Urbonas             2      7      
Emanuelis           Stankevicius        9      7      
Jacekas             Kavaliauskas        3      1      
Vitas               Kazlaukas           9      5      
Ksaveras            Sakalauskas         5      1      
Narsutis            Sakalauskas         5      6      
Laisvunas           Sakalauskas         3      10     
Radvila             Baranauskas         9      1      
zvaigzdzius         Petrauskas          9      6      
Kipras              Baranauskas         7      9      
Krescencijus        Kavaliauskas        8      5      
Vykintas            Stankevicius        1      5      
Klaudas             Baranauskas         10     10     
Zakarijus           Butkus              7      7      
Rainoldas           Baranauskas         6      1      
Juras               Jankauskas          7      6      
Deimantas           zukauskas           2      3      
Vladlenas           Urbonas             10     9      
Anicetas            Jankauskas          1      8      
Kuprijanas          Butkus              4      8      
Drasius             Petrauskas          8      1      
Robinas             Urbonas             5      6      
Adalbertas          Baranauskas         2      10     
Narvydas            Petrauskas          2      9      
Juras               Kavaliauskas        8      9      
Gedminas            Jankauskas          5      7      
Georgijus           Vasiliauskas        8      9      
Viltenis            Vasiliauskas        7      3      
Gintaras            Sakalauskas         2      7      
Gracijus            Paulauskas          6      6      
Vitas               zukauskas           5      5      
Melchioras          Kateiva             8      3      
Valentas            Kateiva             1      8      
Dovis               Kazlaukas           9      4      
Venjaminas          Kavaliauskas        5      4      
Vydmantas           zukauskas           6      8      
Vaidas              zukauskas           1      5      
Albrechtas          Kavaliauskas        8      8      
Isakas              Paulauskas          5      10     
Normanas            Stankevicius        10     5      
Gavrilas            Baranauskas         4      10     
Feliksas            Kateiva             3      5      
Jotautas            Pocius              4      8      
Almis               Baranauskas         3      6      
Arijus              Baranauskas         3      4      
Visvaldas           Butkus              2      7      
Vitalijus           Petrauskas          9      7      
Rysardas            Kateiva             4      10     
Aleksandras         Paulauskas          8      8      
Timotiejus          Butkus              9      4      
Dziugas             Pocius              7      4      
Dzeraldas           Petrauskas          4      10     
Kondratas           Paulauskas          1      4      
Dominykas           Vasiliauskas        3      5      
Vladlenas           Vasiliauskas        5      3      
Gintas              Butkus              5      4      
Augis               Baranauskas         6      10     
Demetrijus          Butkus              5      3      
Stepas              Pocius              8      8      
Foma                Sakalauskas         10     4      
Matas               zukauskas           7      7      
Rinatas             Kavaliauskas        9      5      
Bijunas             Stankevicius        5      2      
Skaidrius           Kateiva             6      8      
Liudvigas           Kateiva             6      8      
Ignacas             Kavaliauskas        10     8      
Vilhelmas           Kateiva             2      9      
Vidmantas           Baranauskas         6      7      
Eugeniusas          Pocius              7      1      
siaurys             Kateiva             6      4      
Viktorijus          zukauskas           5      4      
Osvaldas            Jankauskas          9      3      
Mintaras            Butkus              10     6      
Severinas           Kazlaukas           3      3      
Kazimieras          Kavaliauskas        5      1      
Kajus               Butkus              3      2      
Nauris              Stankevicius        8      7      
Vismantas           Jankauskas          4      5      
Tautvydas           Petrauskas          8      4      
Egidijus            Kazlaukas           8      2      
Vladlenas           Kateiva             6      4      
Jonas               Stankevicius        5      8      
Genadijus           Baranauskas         8      1      
Liucijonas          zukauskas           10     4      
Nikola              Urbonas             5      4      
Jonis               zukauskas           6      1      
Nilas               Stankevicius        7      2      
Klevas              zukauskas           2      5      
Vitalis             zukauskas           10     2      
Mangirdas           Sakalauskas         4      7      
Normantas           zukauskas           1      7      
Drasius             Jankauskas          6      4      
Nikolajus           Vasiliauskas        1      10     
Vygaudas            Kazlaukas           2      4      
Romanas             Stankevicius        6      10     
Borisas             Kateiva             10     5      
Bartas              zukauskas           4      5      
Salvijus            Pocius              5      1      
Rodrigas            Jankauskas          10     3      
Svajus              Baranauskas         7      10     
Makaras             Vasiliauskas        10     2      
Vilgaudas           Paulauskas          1      8      
Viaceslavas         Petrauskas          10     6      
